1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109
1,1,1,18,1,18,1,1,1,62,26,7,7,7,7,7,7,7,7,7,12,12,12,12,12,10,10,10,10,30,361,5,2,1,2,10,13,240,363,3,33,435,2,1,1,1,13,1,1,1,15,114,115,1,22,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,19,2,19,1,1,1,113,26,7,7,7,7,7,7,7,7,7,12,12,12,12,12,10,10,10,10,30,219,12,2,1,2,10,3,251,420,5,33,116,14,1,1,1,13,1,1,1,15,109,117,1,22,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,26,7,26,1,1,1,115,26,7,7,7,7,7,7,7,7,7,12,12,12,12,12,10,10,10,10,30,363,60,44,1,1,10,20,252,421,1,33,436,48,21,1,6,13,1,1,1,15,108,118,1,22,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,21,5,21,1,1,1,62,26,7,7,7,7,7,7,7,7,7,12,12,12,12,12,10,10,10,10,30,361,5,2,1,2,10,21,239,422,5,33,437,27,1,1,1,13,1,1,1,15,110,118,1,22,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,22,6,22,1,1,1,115,26,7,7,7,7,7,7,7,7,7,12,12,12,12,12,10,10,10,10,30,225,19,8,1,1,10,4,420,415,5,33,436,48,21,1,6,13,1,1,1,15,109,114,1,22,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,23,4,23,1,1,1,58,26,7,7,7,7,7,7,7,7,7,12,12,12,12,12,10,10,10,10,30,364,14,2,1,2,10,10,239,422,5,33,437,27,1,1,1,13,1,1,1,15,116,118,1,22,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,3,26,7,7,7,7,7,7,7,7,7,12,12,12,12,12,10,10,10,10,30,4,4,4,2,3,10,2,4,3,4,33,3,3,2,2,2,13,2,3,1,15,4,3,1,22,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,2,2,2,1,1,1,16,26,7,7,7,7,7,7,7,7,7,12,12,12,12,12,10,10,10,10,30,365,77,60,3,10,10,22,421,258,16,33,438,92,59,3,4,13,1,1,1,15,117,114,1,22,3,2,29,14,2,71,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,27,7,27,1,1,1,49,26,7,7,7,7,7,7,7,7,7,12,12,12,12,12,10,10,10,10,30,366,127,110,3,5,10,57,422,423,7,33,439,145,109,3,15,13,1,1,1,15,19,113,1,22,3,41,4,47,2,42,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,29,5,29,1,1,1,5,26,7,7,7,7,7,7,7,7,7,12,12,12,12,12,10,10,10,10,30,220,1,1,1,1,10,52,423,424,7,33,440,37,16,1,6,13,1,1,1,15,70,116,1,22,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
